Year,Team 1,Team 2,Winner,WC winner,Venue,Date,Match Type,Host Nation
2007,WI,SA,SA,IND,Johannesburg,11 Sep,League Stage,SA
2007,KEN,NZ,NZ,IND,Durban,12 Sep,League Stage,SA
2007,PAK,SCO,PAK,IND,Durban,12 Sep,League Stage,SA
2007,AUS,ZIM,ZIM,IND,Cape Town,12 Sep,League Stage,SA
2007,WI,BAN,BAN,IND,Johannesburg,13 Sep,League Stage,SA
2007,ENG,ZIM,ENG,IND,Cape Town,13 Sep,League Stage,SA
2007,IND,SCO,NA,IND,Durban,13 Sep,League Stage,SA
2007,KEN,SL,SL,IND,Johannesburg,14 Sep,League Stage,SA
2007,ENG,AUS,AUS,IND,Cape Town,14 Sep,League Stage,SA
2007,IND,PAK,IND,IND,Durban,14 Sep,League Stage,SA
2007,NZ,SL,SL,IND,Johannesburg,15 Sep,League Stage,SA
2007,BAN,SA,SA,IND,Cape Town,15 Sep,League Stage,SA
2007,IND,NZ,NZ,IND,Johannesburg,16 Sep,League Stage,SA
2007,BAN,AUS,AUS,IND,Cape Town,16 Sep,League Stage,SA
2007,SA,ENG,SA,IND,Cape Town,16 Sep,League Stage,SA
2007,PAK,SL,PAK,IND,Johannesburg,17 Sep,League Stage,SA
2007,NZ,ENG,NZ,IND,Durban,18 Sep,League Stage,SA
2007,AUS,PAK,PAK,IND,Johannesburg,18 Sep,League Stage,SA
2007,SL,BAN,SL,IND,Johannesburg,18 Sep,League Stage,SA
2007,NZ,SA,SA,IND,Durban,19 Sep,League Stage,SA
2007,IND,ENG,IND,IND,Durban,19 Sep,League Stage,SA
2007,AUS,SL,AUS,IND,Cape Town,20 Sep,League Stage,SA
2007,PAK ,BAN,PAK,IND,Cape Town,20 Sep,League Stage,SA
2007,IND,SA,IND,IND,Durban,20 Sep,League Stage,SA
2007,NZ,PAK,PAK,IND,Cape Town,22 Sep,Semi-Finals,SA
2007,IND,AUS,IND,IND,Durban,22 Sep,Semi-Finals,SA
2007,IND,PAK,IND,IND,Johannesburg,24 Sep,Final,SA
2009,ENG,NED,NED,PAK,Lord's,5 Jun,League Stage,ENG
2009,SCO,NZ,NZ,PAK,Oval,6 Jun,League Stage,ENG
2009,WI,AUS,WI,PAK,Oval,6 Jun,League Stage,ENG
2009,IND,BAN,IND,PAK,Nottingham,6 Jun,League Stage,ENG
2009,SA,SCO,SA,PAK,Oval,7 Jun,League Stage,ENG
2009,PAK,ENG,ENG,PAK,Oval,7 Jun,League Stage,ENG
2009,BAN,IRE,IRE,PAK,Nottingham,8 Jun,League Stage,ENG
2009,AUS,SL,SL,PAK,Nottingham,8 Jun,League Stage,ENG
2009,PAK,NED,PAK,PAK,Lord's,9 Jun,League Stage,ENG
2009,SA,NZ,SA,PAK,Lord's,9 Jun,League Stage,ENG
2009,SL,WI,SL,PAK,Nottingham,10 Jun,League Stage,ENG
2009,IND,IRE,IND,PAK,Nottingham,10 Jun,League Stage,ENG
2009,NZ,IRE,NZ,PAK,Nottingham,11 Jun,League Stage,ENG
2009,ENG,SA,SA,PAK,Nottingham,11 Jun,League Stage,ENG
2009,SL,PAK,SL,PAK,Lord's,12 Jun,League Stage,ENG
2009,IND,WI,WI,PAK,Lord's,12 Jun,League Stage,ENG
2009,SA,WI,SA,PAK,Oval,13 Jun,League Stage,ENG
2009,PAK,NZ,PAK,PAK,Oval,13 Jun,League Stage,ENG
2009,SL,IRE,SL,PAK,Lord's,14 Jun,League Stage,ENG
2009,IND,ENG,ENG,PAK,Lord's,14 Jun,League Stage,ENG
2009,PAK,IRE,PAK,PAK,Oval,15 Jun,League Stage,ENG
2009,WI,ENG,ENG,PAK,Oval,15 Jun,League Stage,ENG
2009,SL,NZ,SL,PAK,Nottingham,16 Jun,League Stage,ENG
2009,IND,SA,SA,PAK,Nottingham,16 Jun,League Stage,ENG
2009,PAK,SA,PAK,PAK,Nottingham,18 Jun,Semi-Finals,ENG
2009,SL,WI,SL,PAK,Oval,19 Jun,Semi-Finals,ENG
2009,PAK,SL,PAK,PAK,Lord's,20 Jun,Final,ENG
2010,SL,NZ,NZ,ENG,Providence,30 Apr,League Stage,WI
2010,WI,IRE,WI,ENG,Providence,1 May,League Stage,WI
2010,IND,AFG,IND,ENG,Gros Islet,1 May,League Stage,WI
2010,PAK,BAN,PAK,ENG,Gros Islet,1 May,League Stage,WI
2010,IND,SA,IND,ENG,Gros Islet,2 May,League Stage,WI
2010,AUS,PAK,AUS,ENG,Gros Islet,2 May,League Stage,WI
2010,SL,ZIM,SL,ENG,Providence,3 May,League Stage,WI
2010,ENG,WI,WI,ENG,Providence,3 May,League Stage,WI
2010,NZ,ZIM,NZ,ENG,Providence,4 May,League Stage,WI
2010,ENG,IRE,NA,ENG,Providence,4 May,League Stage,WI
2010,AUS,BAN,AUS,ENG,Bridgetown,5 May,League Stage,WI
2010,SA,AFG,SA,ENG,Bridgetown,6 May,League Stage,WI
2010,ENG,PAK,ENG,ENG,Bridgetown,6 May,League Stage,WI
